
================================================================================
Monitoring Started: 2025-10-11 21:11:21
================================================================================
2025-10-11 21:14:44 | CPU: 7.6% | Freq: 3187MHz | Load: 0.05/0.09/0.04 | MEM: 90.4% | Used: 7.04GB | Avail: 766.36MB | Total: 7.79GB | SWAP: 19.6% | Per-Core: [3.1%, 0.0%, 9.4%, 3.1%, 10.9%, 1.5%, 3.1%, 1.5%]
2025-10-11 21:14:51 | CPU: 3.7% | Freq: 3187MHz | Load: 0.05/0.09/0.04 | MEM: 90.6% | Used: 7.06GB | Avail: 746.07MB | Total: 7.79GB | SWAP: 19.6% | Per-Core: [10.8%, 6.3%, 6.2%, 6.2%, 18.5%, 3.1%, 12.5%, 3.1%]
2025-10-11 21:14:58 | CPU: 12.2% | Freq: 3187MHz | Load: 0.04/0.08/0.04 | MEM: 90.6% | Used: 7.06GB | Avail: 745.79MB | Total: 7.79GB | SWAP: 19.6% | Per-Core: [9.1%, 6.2%, 9.4%, 6.3%, 21.5%, 3.1%, 9.4%, 4.7%]
2025-10-11 21:15:05 | CPU: 9.7% | Freq: 3187MHz | Load: 0.04/0.08/0.04 | MEM: 91.4% | Used: 7.12GB | Avail: 687.73MB | Total: 7.79GB | SWAP: 19.6% | Per-Core: [56.1%, 15.6%, 34.4%, 34.4%, 36.9%, 24.2%, 34.4%, 31.8%]
2025-10-11 21:15:12 | CPU: 8.5% | Freq: 3187MHz | Load: 0.03/0.08/0.04 | MEM: 91.3% | Used: 7.11GB | Avail: 690.56MB | Total: 7.79GB | SWAP: 19.6% | Per-Core: [18.2%, 3.1%, 9.0%, 13.8%, 25.4%, 4.6%, 1.6%, 26.2%]
2025-10-11 21:15:19 | CPU: 18.5% | Freq: 3187MHz | Load: 0.03/0.08/0.04 | MEM: 91.6% | Used: 7.13GB | Avail: 669.73MB | Total: 7.79GB | SWAP: 19.6% | Per-Core: [42.6%, 7.7%, 21.9%, 15.6%, 19.7%, 18.8%, 20.3%, 14.1%]
2025-10-11 21:15:26 | CPU: 8.0% | Freq: 3187MHz | Load: 0.11/0.09/0.05 | MEM: 82.5% | Used: 6.42GB | Avail: 1.36GB | Total: 7.79GB | SWAP: 20.0% | Per-Core: [16.4%, 4.7%, 15.6%, 4.7%, 17.2%, 4.7%, 6.2%, 6.2%]
2025-10-11 21:15:33 | CPU: 3.3% | Freq: 3187MHz | Load: 0.09/0.09/0.04 | MEM: 83.3% | Used: 6.48GB | Avail: 1.30GB | Total: 7.79GB | SWAP: 20.0% | Per-Core: [7.6%, 1.6%, 7.8%, 0.0%, 10.9%, 0.0%, 0.0%, 6.2%]
2025-10-11 21:15:40 | CPU: 6.2% | Freq: 3187MHz | Load: 0.08/0.09/0.04 | MEM: 83.2% | Used: 6.48GB | Avail: 1.31GB | Total: 7.79GB | SWAP: 20.0% | Per-Core: [0.0%, 1.6%, 1.6%, 0.0%, 12.3%, 3.1%, 3.0%, 0.0%]
2025-10-11 21:15:47 | CPU: 22.4% | Freq: 3187MHz | Load: 0.07/0.09/0.04 | MEM: 84.0% | Used: 6.54GB | Avail: 1.25GB | Total: 7.79GB | SWAP: 20.0% | Per-Core: [22.4%, 3.1%, 9.4%, 6.2%, 15.6%, 3.1%, 9.4%, 15.6%]
